date,ticker,S_recency,S_breadth,S_volume,S_events,pos,neg,total,smart_score,S_breadth_raw,S_volume_raw
2025-09-03,SUNTV.NS,35.70971596647195,25.0,16.90920836734384,35.0,0,1,2,31.51,,
2025-09-03,TATAELXSI.NS,80.7693749666214,100.0,0.0,50.0,1,0,1,68.85,,
2025-09-03,TATAMOTORS.NS,86.17978269100189,100.0,0.0,50.0,1,0,1,71.28,,
2025-09-03,TATASTEEL.NS,90.49511111831666,100.0,0.0,60.0,1,0,1,75.72,,
2025-09-03,UPL.NS,77.49562142536304,66.66666666666666,28.906482631788784,50.0,2,1,3,63.6,,
2025-09-03,VEDL.NS,63.371050542710826,75.0,38.21229151533517,50.0,3,1,4,59.84,,
2025-09-03,YESBANK.NS,66.23345835959665,53.57142857142857,84.0279825144678,57.14285714285714,7,6,14,63.21,,
2025-09-04,ADANIENSOL.NS,66.556797569071,75.0,38.96829011373962,50.0,3,1,4,61.35,,
2025-09-04,BEL.NS,85.67744476432406,100.0,29.4783734943314,58.333333333333336,3,0,3,76.09,,
2025-09-04,BHEL.NS,43.75305435591326,28.57142857142857,58.95674698866278,42.85714285714286,1,4,7,42.01,,
2025-09-04,BLS.NS,61.56214313164363,32.14285714285714,85.69040668450737,71.07142857142857,4,9,14,60.47,,
2025-09-04,COALINDIA.NS,50.50620866300896,60.0,72.50004383795827,53.5,6,4,10,55.35,,
2025-09-04,DELTACORP.NS,56.59713444470259,43.75,63.96585964720408,47.5,3,4,8,52.49,,
2025-09-04,EASEMYTRIP.NS,50.205949684605,50.0,0.0,50.0,0,0,1,45.09,,
2025-09-04,HDFCBANK.NS,73.54793300322358,87.5,100.0,51.74999999999999,16,1,20,73.53,,
2025-09-04,IEX.NS,67.76005028581619,100.0,0.0,50.0,1,0,1,62.99,,
2025-09-04,INFY.NS,79.56657280971785,33.333333333333336,29.4783734943314,60.0,1,2,3,60.42,,
2025-09-04,IOB.NS,51.38908803462983,50.0,17.243743076436346,82.5,1,1,2,55.47,,
